ATEBayesBootstrap,ATENaive,RegressionTrue,PartialCorrTYU,confounding,ATEBayesBootstrappval,ATENaivepval,ground_truthpval,bTY
3.0096322123165087,5.120293061103192,3.675499908911859,0.9361427002588906,0,7.018765926253559e-92,0,0,3.628628628628629
-0.7689251650699207,-0.9021813697020865,-0.6975598170255163,-0.477777975335539,0,9.613489601417298e-56,1.4802389390732002e-82,4.195563372132328e-58,-0.6356356356356354
-3.8609658281948156,-3.810728829602592,-3.890602417987314,-0.9998296355851517,0,0,0,0,-3.888888888888889
-2.1402128322657785,-1.960046833255465,-3.5155810343698373,-0.7219368167953534,1,3.7775680714437855e-100,2.0360582364778083e-128,1.2696846073644081e-161,-3.4384384384384385
-2.0328582179746264,-1.8591980341437417,-3.0473804594797236,-0.9704202645410307,1,2.3973787442877126e-246,1.8613386919624332e-256,0,-3.038038038038038
-1.3169207724623284,-1.3179358228128855,2.286740899584637,0.5965701398796462,1,1.228108032667692e-194,1.0176535255900588e-206,2.4582488903361606e-97,2.3173173173173174
0.9591482726728832,1.0336495234900513,0.9048055436907033,0.9979805837483461,0,0,0,0,0.9059059059059056
-3.123873062703714,-3.123101831111888,-3.1092682884845257,-0.9997932085098525,0,0,0,0,-3.108108108108108
0.7026783965499284,0.7004460947456149,0.5799544493865669,0.15886873199901688,0,2.161986719219355e-10,2.398373028129026e-10,4.4842990728712313e-7,0.5555555555555554
-1.8195192967503604,-1.8386525294166516,-1.5714043423951478,-0.9963192706277382,1,0,0,0,-1.5665665665665665
3.784387148631135,3.9147947759181787,3.8200695339898,0.9483413987674016,0,0,0,0,3.8188188188188192
4.7575823857815625,4.803504478863563,4.7621493045897125,0.9742644386105668,1,0,0,0,4.80980980980981
4.173777947465518,3.844251320803422,4.5120407570204515,0.9943399577454609,1,0,0,0,4.50950950950951
-4.394819392563328,-4.406214912780416,-3.58216633972924,-0.8055079445917096,1,0,0,8.483240250492381e-229,-3.4784784784784786
-3.1298499302329494,-3.1284072541164716,0.45684903637458923,0.06348480221682026,1,0,0,0.044848422227864386,0.5555555555555554
3.243968288996564,3.236237465626079,3.7023703121743012,0.9842091109057066,1,0,0,0,3.698698698698699
1.743180641207956,1.7858917732218087,1.7405803194760485,0.9991360825038496,0,0,0,0,1.736736736736737
-1.288842816994152,-1.5368014733903703,-1.340659870330149,-0.8836669746187105,0,3.584039033773512e-207,0,0,-1.2962962962962963
0.6306826729211477,0.8051228533365766,0.41402446116487024,0.27476702494725136,1,2.985849129959495e-31,1.8556576213639566e-120,9.197467943335333e-19,0.4454454454454453
-2.0693774355829464,-2.2440296588275706,-1.9272962786106274,-0.9996009358136994,1,0,0,0,-1.9269269269269271
3.287346114115955,2.669357588679768,3.680720826990376,0.941295918439827,1,3.2344892203959914e-246,0,0,3.678678678678679
-2.0902066026140496,-2.3102611974589706,-0.31085528286722003,-0.4202935308121192,1,5.916233268902793e-181,4.648594361673878e-266,4.973660781492917e-44,-0.3453453453453452
0.9595217419917779,1.2162925099564204,2.8046660798548944,0.7198648742684771,0,2.52545455048049e-12,5.986633989810602e-18,2.8280284666617382e-160,2.7677677677677677
-3.111852270107309,-3.2544404049904547,-3.2341535585722947,-0.9925263664465245,1,0,0,0,-3.218218218218218
-4.039789975627026,-4.04442976030632,-3.6148873070503664,-0.9730641875624658,0,0,0,0,-3.6186186186186187
0.7189898297571647,0.7195876711205863,0.5754672446729407,0.4648346399487632,1,0,0,1.0727663900178956e-54,0.6556556556556554
-6.175600694063963,-6.477036561849776,-4.0805496722097905,-0.9322214015520224,0,0,0,0,-4.109109109109109
-0.4214948267209049,-0.42295764420413057,-0.35573316583074316,-0.9967386865721635,0,0,0,0,-0.35535535535535523
0.33254641401771223,0.4041531252731195,0.4022863986858325,0.2887580179297447,1,0.002328438622303309,2.1485648641059044e-4,1.2257272265468953e-20,0.38538538538538525
-0.9096395260997016,-0.9034646330473779,-1.136833888515632,-0.9102492599177382,0,0,0,0,-1.1261261261261262
4.678030172040105,4.593795614790905,4.797229423946778,0.9979828794016539,0,0,0,0,4.80980980980981
2.531206502884209,5.756993696545996,2.2987469425086746,0.5962402684916417,1,7.352532674349307e-23,2.414499053139476e-292,3.334867232186391e-97,2.2672672672672673
5.042365033183329,5.115269637701739,4.812171879347937,0.9834127924774194,0,0,0,0,4.80980980980981
-1.017167511944857,-1.0309912653347688,-2.14742760634392,-0.8008308011035892,0,8.321666495315892e-9,5.396503607949286e-9,3.2673882485912556e-224,-2.0770770770770772
-2.8320819272240683,-2.7645569975431523,-2.876758870708492,-0.9973298290058014,0,0,0,0,-2.8878878878878878
1.364024881204375,1.566319692569871,1.43769317207702,0.9667397454972668,0,4.877850953664619e-305,0,0,1.4364364364364368
-0.38518285461135215,-0.38639079143169974,-1.0540541661048013,-0.6826463484755931,0,1.6526711710983732e-63,3.389009447597261e-63,5.554693696126748e-138,-1.026026026026026
4.659474624309489,4.65885722007924,4.770328473036121,0.9822374638508965,1,0,0,0,4.74974974974975
1.5910043942751635,1.6030369176195378,1.4276076739656973,0.8696594396928137,1,0,0,6.364676840577888e-308,1.4464464464464468
2.4654048971920393,2.414738776886571,2.48312178235246,0.9957535890029443,0,0,0,0,2.4874874874874875
-2.6100159844086854,-2.605562314748613,-2.8997198887020126,-0.9192320483920601,0,0,0,0,-2.8678678678678677
-3.1145091247304015,-3.394168999005505,-3.51450179375097,-0.9741318030120734,0,0,0,0,-3.5085085085085086
-2.210048232379485,-2.2249508973986285,-1.8859712271654656,-0.9713362146542209,0,0,0,0,-1.876876876876877
-2.653572182916047,-2.756245341243512,-1.4020288160635024,-0.6732314122216025,0,6.482115446676501e-195,3.180468386899208e-217,7.332584322108128e-133,-1.4164164164164164
0.4552254112844819,0.4532034269150174,0.9606280660483025,0.5956074813604944,1,3.369480079463542e-42,6.839026322132254e-42,5.980406255103805e-97,0.9459459459459456
0.6149403038482771,1.0227175465842084,1.6006323867604602,0.7570731293416654,0,1.2827239933205316e-8,1.901591389066338e-20,1.6230091175356404e-186,1.606606606606607
-4.678378951646143,-4.690547729307545,-4.615806569609342,-0.988922182896961,0,0,0,0,-4.60960960960961
-4.6682604455585155,-4.899856372549969,-4.557438606218042,-0.9839887705639341,0,0,0,0,-4.54954954954955
-4.464715190207734,-4.927585485917827,-4.6654326364748036,-0.9850551348779347,0,0,0,0,-4.65965965965966
-2.3396565403387477,-2.3680008740439638,-2.7781771751493594,-0.9921001532107223,1,4.088870479897395e-294,1.1295447996691848e-295,0,-2.7877877877877877
